Entity,Code,Year,Annual CO2 emissions (per capita)
Qatar,QAT,2022,37.601273
United Arab Emirates,ARE,2022,25.833244
Bahrain,BHR,2022,25.672274
Kuwait,KWT,2022,25.578102
Brunei,BRN,2022,23.950201
Trinidad and Tobago,TTO,2022,22.423758
Saudi Arabia,SAU,2022,18.197495
New Caledonia,NCL,2022,17.641167
Oman,OMN,2022,15.730261
Australia,AUS,2022,14.985412
United States,USA,2022,14.949616
Sint Maarten (Dutch part),SXM,2022,14.352394
Canada,CAN,2022,14.249212
Faroe Islands,FRO,2022,14.084624
Kazakhstan,KAZ,2022,13.979704
Palau,PLW,2022,12.123921
Taiwan,TWN,2022,11.630868
Luxembourg,LUX,2022,11.618432
South Korea,KOR,2022,11.598764
Russia,RUS,2022,11.416899
