Entity,Code,Year,Fossil fuel electricity per capita - kWh
Afghanistan,AFG,2022,3.160804
Africa,,2022,466.52615
Albania,ALB,2022,0
Algeria,DZA,2022,1948.6349
American Samoa,ASM,2022,3837.905
Angola,AGO,2022,118.856964
Antigua and Barbuda,ATG,2022,3625.816
Argentina,ARG,2023,1993.2761
Armenia,ARM,2022,1370.2709
Aruba,ABW,2022,7796.4287
Asia,,2022,2424.5942
Australia,AUS,2023,6646.592
Austria,AUT,2023,1159.7328
Azerbaijan,AZE,2022,2616.3154
Bahamas,BHS,2022,4951.3525
Bahrain,BHR,2022,24133.342
Bangladesh,BGD,2023,581.48303
Barbados,BRB,2022,3586.062
Belarus,BLR,2022,3422.145
Belgium,BEL,2023,1860.3221
Belize,BLZ,2022,148.04398
Benin,BEN,2022,83.128235
Bermuda,BMU,2022,9656.268
Bhutan,BTN,2022,0
Bolivia,BOL,2023,698.22394
Bosnia and Herz.,BIH,2023,3120.6643
Botswana,BWA,2022,996.0841
Brazil,BRA,2023,305.92944
British Virgin Islands,VGB,2022,5425.7627
Brunei,BRN,2022,12806.18
Bulgaria,BGR,2023,2014.1406
Burkina Faso,BFA,2022,23.375032
Burundi,BDI,2022,9.309843
Cambodia,KHM,2022,258.82864
Cameroon,CMR,2022,109.620285
Canada,CAN,2023,3251.568
Cape Verde,CPV,2022,606.9168
Cayman Islands,CYM,2022,9894.939
Central African Rep.,CAF,2022,0
Chad,TCD,2022,18.619545
Chile,CHL,2023,1668.9092
China,CHN,2023,4294.5596
Colombia,COL,2023,558.1243
Comoros,COM,2022,167.30742
Congo,COG,2022,519.2256
Cook Islands,COK,2022,1174.2603
Costa Rica,CRI,2023,97.84777
côte d'ivoire,CIV,2022,272.36685
Croatia,HRV,2023,1309.6792
Cuba,CUB,2022,1550.9894
N. Cyprus,CYP,2023,3412.3086
Czechia,CZE,2023,3282.4229
Dem. Rep. Congo,COD,2022,0
Denmark,DNK,2023,705.47504
Djibouti,DJI,2022,115.98329
Dominica,DMA,2022,1786.745
Dominican Rep.,DOM,2022,1645.7649
Timor-Leste,TLS,2022,380.2287
Ecuador,ECU,2023,353.48135
Egypt,EGY,2023,1572.8827
El Salvador,SLV,2023,414.7718
Eq. Guinea,GNQ,2022,591.0744
Eritrea,ERI,2022,100.43319
Estonia,EST,2023,2729.1338
eSwatini,SWZ,2022,33.28673
Ethiopia,ETH,2022,0.08105046
Europe,,2022,2810.379
European Union (27),,2022,2434.2305
Falkland Is.,FLK,2022,2630.8867
Faroe Islands,FRO,2022,4894.8545
Fiji,FJI,2022,451.7251
Finland,FIN,2023,804.2592
France,FRA,2023,668.6579
French Guiana,GUF,2021,1042.1499
French Polynesia,PYF,2022,1534.4834
Gabon,GAB,2022,577.64825
Gambia,GMB,2022,188.47041
Georgia,GEO,2023,922.678
Germany,DEU,2023,2779.0505
Ghana,GHA,2022,443.60312
Gibraltar,GIB,2022,7650.641
Greece,GRC,2023,2382.6846
Greenland,GRL,2022,2301.1292
Grenada,GRD,2022,1912.9756
Guadeloupe,GLP,2021,2777.378
Guam,GUM,2022,9663.3545
Guatemala,GTM,2022,239.85771
Guinea,GIN,2022,73.59653
Guinea-Bissau,GNB,2022,37.99428
Guyana,GUY,2022,1384.8926
Haiti,HTI,2022,77.686646
High-income countries,,2022,5283.1587
Honduras,HND,2022,425.5785
Hong Kong,HKG,2022,4768.4136
Hungary,HUN,2023,1051.5702
Iceland,ISL,2022,0
India,IND,2023,1074.9476
Indonesia,IDN,2023,1024.5264
Iran,IRN,2023,3818.5427
Iraq,IRQ,2022,2536.85
Ireland,IRL,2023,3500.1465
Israel,ISR,2022,7563.3584
Italy,ITA,2023,2510.2441
Jamaica,JAM,2022,1404.1259
Japan,JPN,2023,5633.26
Jordan,JOR,2022,1494.789
Kazakhstan,KAZ,2023,5067.1606
Kenya,KEN,2023,13.248497
Kiribati,KIR,2022,228.59407
Kosovo,OWID_KOS,2023,3384.229
Kuwait,KWT,2023,21029.64
Kyrgyzstan,KGZ,2022,294.0901
Laos,LAO,2022,1648.1887
Latvia,LVA,2023,797.72095
Lebanon,LBN,2022,1657.6366
Lesotho,LSO,2022,0
Liberia,LBR,2022,49.031715
Libya,LBY,2022,4443.405
Lithuania,LTU,2023,481.90964
Low-income countries,,2022,65.37183
Lower-middle-income countries,,2022,808.0172
Luxembourg,LUX,2023,137.45264
Macao,MAC,2022,417.15814
Madagascar,MDG,2022,50.317917
Malawi,MWI,2022,3.9205465
Malaysia,MYS,2023,4424.988
Maldives,MDV,2022,1508.215
Mali,MLI,2022,100.028336
